,N,T,Tstd
0,10,53.8762,76.52851713546718
1,12,61.6506,79.37395506155791
2,15,69.3836,81.97120457134864
3,19,82.2366,90.89803994480069
4,25,97.4206,97.88556816040558
5,31,111.0419,102.26575757753565
6,39,126.9243,106.50875260253542
7,50,142.9119,110.1245852696757
8,63,161.6575,114.09459825725821
9,79,181.9995,119.06890710934582
10,100,202.5173,121.6381021041448
11,125,223.0248,124.68449465463108
12,158,242.1964,125.2478388202883
13,199,264.8277,125.09643449955894
14,251,289.9019,126.8783420752288
15,316,308.4301,126.91359903553291
16,398,332.0419,128.2442380883067
17,501,357.8139,126.12988916860337
18,630,379.2018,126.33016111649971
19,794,402.3655,126.01222725550005
20,1000,425.0631,126.66729166863823
21,1258,450.1219,130.45772327519063
22,1584,471.9947,130.41679311309028
23,1995,492.5215,127.2893302484914
24,2511,520.2622,129.47329448406902
25,3162,541.1202,128.4136875861602
26,3981,564.5853,127.41303281848052
27,5011,584.9597,127.53403533538368
28,6309,609.4582,128.9322023547275
29,7943,634.2257,128.02089866330206
30,10000,654.4282,126.91240727632608
31,12589,677.6744,126.84705121554941
32,15848,702.1944,128.36504339997205
33,19952,722.9027,126.70475619421009
34,25118,746.6529,127.7830077564976
35,31622,771.2072,128.84734778823818
36,39810,794.0398,128.22672586197672
37,50118,814.5929,125.91140034827572
38,63095,838.2358,127.44856182770832
39,79432,860.9486,127.85785514059006
40,100000,882.5067,125.79633232663298
