,logu,T,Tstd
0,-3.0,461.606,586.8586522083211
1,-2.9,431.8749,509.7848692451368
2,-2.8,391.3858,433.17772386447257
3,-2.7,365.6857,369.4142563637609
4,-2.6,343.9881,326.92184409672717
5,-2.5,311.0112,269.27672730881704
6,-2.4,284.6802,235.4152296708862
7,-2.3,263.8837,203.52134401103194
8,-2.2,240.6733,168.80157808618506
9,-2.1,220.7668,143.3545251108139
10,-2.0,200.1716,119.42574012406378
11,-1.9,184.2152,101.30871549152843
12,-1.7999999999999998,169.5272,88.93948888670509
13,-1.7,154.4478,74.45263591478455
14,-1.6,140.55200000000002,63.354345338795284
15,-1.5,128.1005,53.1508127937858
16,-1.4,116.3668,45.78752130734691
17,-1.2999999999999998,106.09100000000001,39.19780052192439
18,-1.2,95.82700000000001,33.17522766422345
19,-1.1,86.5009,28.119464248398515
20,-1.0,78.6486,24.05282877121088
