,logs,T,Tstd
0,-3.0,441.005422059,172.8155354371985
1,-2.95,426.735536129,169.1813991819167
2,-2.9,412.71675093,165.57753382948383
3,-2.85,398.97734765800004,162.01388054327924
4,-2.8,385.542608513,158.50010294272937
5,-2.75,372.434926419,155.04557140952025
6,-2.7,359.673937031,151.65936087859654
7,-2.65,347.276685181,148.35024412109885
8,-2.6,335.257826743,145.12669604568947
9,-2.55,323.629819204,141.99688235390352
10,-2.5,312.403142519,138.96865923233653
11,-2.45,301.586519716,136.04954825118423
12,-2.4,291.187131962,133.24671450176425
13,-2.35,281.210838974,130.56691634612042
14,-2.3,271.662366568,128.0164424203362
15,-2.25,262.54548973,125.60101706641251
16,-2.2,253.863202217,123.325682997336
17,-2.15,245.61787905,121.19466769030714
18,-2.1,237.81137893099998,119.21123875506609
19,-2.05,230.445066551,117.37755219638687
20,-2.0,223.519668688,115.69449655467194
21,-1.95,217.035074811,114.16154035418137
22,-1.9,210.990071167,112.77660511796296
23,-1.85,205.382077668,111.5359975331635
24,-1.7999999999999998,200.20686316799998,110.43442532102465
25,-1.75,195.45817482400003,109.46510087755304
26,-1.7,191.127234986,108.61992689713634
27,-1.65,187.20216101900002,107.88973357747948
28,-1.6,183.66744572,107.2645571619851
29,-1.5499999999999998,180.503714361,106.73394270856859
30,-1.5,177.687896675,106.28726359287435
31,-1.45,175.193897631,105.91404255945736
32,-1.4,172.99364387900002,105.60425254569886
33,-1.35,171.05836027799998,105.3485661515133
34,-1.2999999999999998,169.359786121,105.138534783137
35,-1.25,167.871209734,104.96668525669372
36,-1.2,166.56812095799998,104.826539045418
37,-1.15,165.428547053,104.71257060685495
38,-1.1,164.433068218,104.62012605286377
39,-1.0499999999999998,163.56465401399998,104.5453215315477
40,-1.0,162.808393903,104.48493747742
